1.610262027560939352e-08,1.476615545892136751e-20,7.446845956534081578e-21,7.319309502387284427e-21
4.175318936560400459e-08,3.662669092195957919e-20,1.900243618398411344e-20,1.762425473797546275e-20
1.082636733874054085e-07,8.982686933338047281e-20,4.833229981090156223e-20,4.149456952247891660e-20
2.807216203941175899e-07,2.039505027630778399e-19,1.143795692635363225e-19,8.957093349954152940e-20
7.278953843983146336e-07,3.645447927976505293e-19,2.008465434001597958e-19,1.636982493974907094e-19
1.887391822135095515e-06,5.616023723657792324e-19,3.581306110719688948e-19,2.034717612938103857e-19
4.893900918477488569e-06,7.030676601007367693e-19,4.912318728294164537e-19,2.118357872713203156e-19
1.268961003167920871e-05,6.866619368532108733e-19,4.741844346604166297e-19,2.124775021927942677e-19
3.290344562312664238e-05,6.511430596015455520e-19,4.273603256156581813e-19,2.237827339858873707e-19
8.531678524172805317e-05,6.413788439685450808e-19,4.182358593413511272e-19,2.231429846271940018e-19
2.212216291070450108e-04,6.539452361812591918e-19,4.291975445787617937e-19,2.247476916024973981e-19
5.736152510448681375e-04,6.931909598102823502e-19,4.582677370837313272e-19,2.349232227265509749e-19
1.487352107293511911e-03,6.475224387976965530e-19,4.269612042404908374e-19,2.205612345572057155e-19
3.856620421163472427e-03,6.698668758925947541e-19,4.484677506239362165e-19,2.213991252686585858e-19
1.000000000000000021e-02,6.758654691227947071e-19,4.601311031104858437e-19,2.157343660123088393e-19
2.592943797404666934e-02,6.814662784858779364e-19,4.606945121109822043e-19,2.207717663748956839e-19
6.723357536499334486e-02,6.760789360277365147e-19,4.565250673927062244e-19,2.195538686350303385e-19
1.743328822199987360e-01,6.957839922837349061e-19,4.734008782469055299e-19,2.223831140368293762e-19
4.520353656360240335e-01,7.120201115334544249e-19,4.805704281435439756e-19,2.314496833899104974e-19
1.172102297533480497e+00,7.235367389300911504e-19,4.817524123950746769e-19,2.417843265350165216e-19
3.039195382313200966e+00,8.705354455402265816e-19,5.840407400694748328e-19,2.864947054707517006e-19
7.880462815669919685e+00,1.288990838068352618e-18,8.864695203316912526e-19,4.025213177366612690e-19
2.043359717856943547e+01,2.054279461134081904e-18,1.337683756201572666e-18,7.165957049325091417e-19
5.298316906283712768e+01,4.486323459243622134e-18,2.956765399046359798e-18,1.529558060197262336e-18
1.373823795883263870e+02,1.108122747428611012e-17,7.015503135755966265e-18,4.065724338530143858e-18
3.562247890262444230e+02,2.561969124142959110e-17,1.678670066735083903e-17,8.832990574078752066e-18
9.236708571873865594e+02,7.556746830398099055e-17,5.325041059844020829e-17,2.231705770554077918e-17
2.395026619987485901e+03,1.761754034408354760e-16,1.219480986255473430e-16,5.422730481528812680e-17
6.210169418915616006e+03,4.603381469025550497e-16,3.190577161695286133e-16,1.412804307330264610e-16
